time,pos_x,pos_y,pos_z,euler_roll,euler_pitch,euler_yaw,task_vel_1,task_vel_2,task_vel_3,task_vel_4,task_vel_5,task_vel_6,task_acc_1,task_acc_2,task_acc_3,task_acc_4,task_acc_5,task_acc_6,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_acc_1,joint_acc_2,joint_acc_3,joint_acc_4,joint_acc_5,joint_acc_6,desired_pos_x,desired_pos_y,desired_pos_z,desired_euler_roll,desired_euler_pitch,desired_euler_yaw
9.663999999999897,0.6181353238118596,-0.14581572494582276,0.48478113510065557,-1.7089315780109222,-0.21028969931316374,0.6676340387373817,-0.00919273635123718,-0.0012889464273041296,-0.020680704023656744,-0.047758596104629056,0.034018063691781945,-0.06594303381401126,-6.801367842879482,10.8511562026213,17.347724883450567,157.26122179580926,70.14350535356144,-30.38751440098588,-0.460760750896744,-0.49371324021396773,-0.10011287408186713,-4.334965241992018,-4.84064070296498,0.4709527741063879,0.0006128571179787291,0.41175319883371075,-0.8239711696904877,0.41467406505903104,0.07084368116222522,0.053006009856390895,-2.1376019658997585,-110.13283769034179,218.01815609274436,18.271276722701607,-101.04953680785763,51.56325671097291,0.5,0.0,0.5,0.0,-0.0,0.0
9.665999999999897,0.6181261106562209,-0.14582319355696113,0.4847504829196603,-1.708884364361809,-0.21014440189488384,0.6674930352973528,-0.004629745882795983,-0.0037228590979428424,-0.015340870727120915,-0.026848048488802664,0.07134410817360053,-0.06557355886207179,-6.8912429590681015,10.898137518243066,17.24265924810364,156.84851735689978,69.37506791278312,-30.398188447191657,-0.4607605997541294,-0.4933058671439832,-0.10087700759148814,-4.334517984293653,-4.840503582152127,0.47105793472772733,7.557130730608181e-05,0.2036865349922566,-0.382066754810508,0.2236288491827784,0.06856040642640979,0.0525803106697018,-2.131030201928861,-105.25496692194255,207.6806832426473,22.8659715516386,-101.02313955209186,51.56405409398934,0.5,0.0,0.5,0.0,-0.0,0.0
9.667999999999898,0.6181259008210361,-0.14583553198073473,0.4847305842948183,-1.708757155655559,-0.20996892368772466,0.6673361033290073,-0.00010530231259994489,-0.006169073190325994,-0.009948813867008048,-0.005454821849776002,0.1074149161046481,-0.06519934009613684,-6.98139509381006,10.947285240311116,17.135802712099633,156.42023650600282,68.62645598365928,-30.41280655790316,-0.4607618734334321,-0.4933061447444009,-0.1007758967287241,-4.334444566516031,-4.840373048138998,0.47116232844203443,-0.000636839651352985,-0.00013880020883352828,0.050555431382017735,0.03670888881085743,0.06526700656458989,0.05219685715353793,-2.1189122551720785,-101.21144243690323,199.08961946879106,26.559778321819465,-100.97657134511005,51.56075517523569,0.5,0.0,0.5,0.0,-0.0,0.0
9.669999999999899,0.6181342799181045,-0.14585252199654158,0.4847212087186543,-1.7085591008136116,-0.20976742520209415,0.6671650691528531,0.0041570320290762654,-0.008478932642113503,-0.004709231616142063,0.013727083538426693,0.13907814041801161,-0.06488086356550511,-7.067316713669504,10.995514842844303,17.03131022403229,156.03090643007073,67.96136554927783,-30.429655256836025,-0.4607645455781001,-0.4936945108242362,-0.09985346013713411,-4.3347305125456375,-4.840249037213151,0.4712660888553035,-0.00133607233399035,-0.19418303991767993,0.46121829579499496,-0.1429730148032547,0.06200546292350332,0.051880206634535186,-2.1051387594843733,-98.08033083987021,192.43037578158828,29.32665621829105,-100.93057907274738,51.55330372585247,0.5,0.0,0.5,0.0,-0.0,0.0
9.6719999999999,0.6181507111746777,-0.14587387508336253,0.4847219682774737,-1.7082995578131808,-0.20954471565063829,0.66698187153005,0.008103304640687387,-0.010620878886646007,0.00030410501373772693,0.030816930634841026,0.1660159806427933,-0.0645834849839598,-7.147879418509989,11.042061719379012,16.93072135175109,155.67878052429535,67.38685797230235,-30.448870600146506,-0.46076864120631117,-0.49445531008030263,-0.09814545678369699,-4.335366060429365,-4.840131994909361,0.47136933507973844,-0.0020478141055503387,-0.3803996280332146,0.8540016767185645,-0.3177739418638984,0.05852115189491256,0.05162311221746289,-2.089337776861923,-95.83319998468728,187.6436303451522,31.202951111061875,-100.87993032447551,51.54225292156226,0.5,0.0,0.5,0.0,-0.0,0.0
9.6739999999999,0.6181745553620843,-0.14589924443534666,0.48473234636021306,-1.707987996701089,-0.2093060703791001,0.6667885224035063,0.01168724171037231,-0.012568226688294694,0.005030243981132791,0.045913729517083904,0.188011738907722,-0.06428072269096982,-7.2220973828813,11.086241195454699,16.835321276674218,155.362507975723,66.90801161539211,-30.470388271581765,-0.4607742231771755,-0.49557662680926634,-0.09567981687242236,-4.336345835909944,-4.840022746449084,0.4714721735088031,-0.002790985432151034,-0.5606583644818466,1.2328199556373156,-0.4898877402890284,0.05462423013814567,0.05141921453233436,-2.071286398373498,-94.48668975190938,184.76384210439093,32.174690139254075,-100.82065380156006,51.52811513700459,0.5,0.0,0.5,0.0,-0.0,0.0
9.6759999999999,0.6182050843087759,-0.14592823330040028,0.4847517189091108,-1.7076339484325394,-0.20905710367303723,0.6665870808901704,0.01486725085198597,-0.014297429738214499,0.009417462770755784,0.05909593137887389,0.20491420295618815,-0.0639525881723731,-7.289068864921806,11.127416950771597,16.74621182778599,155.08114090923493,66.52862271718885,-30.493987754481658,-0.4607813820241506,-0.49705029941045287,-0.09247660681061787,-4.337668774195835,-4.839922399015445,0.471574699736412,-0.00357942348754824,-0.7368363005932562,1.6016050309022438,-0.661469142946,0.050173716819635776,0.05126311380443261,-2.0508746816744052,-94.10745811132713,183.9296855752869,32.172727468430054,-100.74973027151462,51.511364265522715,0.5,0.0,0.5,0.0,-0.0,0.0
9.677999999999901,0.6182414435383212,-0.14596046911777374,0.4847793549164559,-1.7072476927563525,-0.20880224750292672,0.6663795098855055,0.017581002667963603,-0.01582098812789574,0.013412911411039945,0.0697065408657577,0.21696203922392007,-0.06372112609238804,-7.347457683691652,11.165663784763122,16.664527867495085,154.84856036545048,66.24462509450206,-30.516678298810458,-0.46079015154549485,-0.49887212538080594,-0.08854761551714753,-4.339338284834339,-4.839830637378515,0.4716770042629221,-0.004384760672142564,-0.910912985176542,1.9644956467351689,-0.8347553192516994,0.04588081846494057,0.05115226325506069,-2.0288540306687035,-94.82615061602822,185.41332438995087,31.05802957003941,-100.68130515308204,51.492507101688545,0.5,0.0,0.5,0.0,-0.0,0.0
9.679999999999902,0.6182826887293824,-0.1459955519234624,0.48481443588334105,-1.7068397408215465,-0.20854584656290676,0.6661677758412488,0.019782127385594258,-0.017124476561015827,0.016971933689863127,0.07762569539839878,0.2241205484730434,-0.0636041418768801,-7.396236032330834,11.200506819287693,16.591243264447858,154.6679305127819,66.05742079457745,-30.537555588406782,-0.46080056625961274,-0.5010423357113449,-0.08389537895203446,-4.341362764684972,-4.839746958316952,0.47177917130358016,-0.00520735705895298,-1.0851051652694983,2.3261182825565347,-1.0122399253169325,0.04183953078163541,0.05108352032903421,-2.0054122776231784,-96.8632626657811,189.67432728660438,28.594147552465262,-100.61719480536456,51.472073832656704,0.5,0.0,0.5,0.0,-0.0,0.0
9.681999999999903,0.6183277897264572,-0.14603303769984705,0.4848560602588195,-1.7064207648010128,-0.20829247090918254,0.6659538860177406,0.021423460807308402,-0.018183753732961792,0.020050208745611316,0.08285686612034611,0.22625359164731107,-0.06359309736503486,-7.434351320702709,11.231264484120603,16.527326278400107,154.5399548458971,65.97046308125947,-30.55622256065462,-0.46081267526700104,-0.5035664178156967,-0.07851149614130111,-4.343756531237825,-4.839670988896489,0.47188128044370065,-0.006054503694153044,-1.262041052175875,2.6919414053666726,-1.196883276426493,0.037984710231483185,0.05105457006025761,-1.9806088527604992,-100.5785202409497,197.46277097321484,24.39409629593564,-100.55602002266855,51.45057231999306,0.5,0.0,0.5,0.0,-0.0,0.0
